 IN_PITCH, IN_ROLL, IN_AZIMUTH
0.13295439,-0.20467404,0.45779353
0.13296095,-0.2047114,0.45754325
0.1329909,-0.20460063,0.45745847
0.13316269,-0.20469661,0.45727655
0.13322014,-0.20477603,0.45721585
0.13319217,-0.20466784,0.45731735
0.13304107,-0.2045439,0.45722067
0.13299048,-0.20457141,0.45726144
0.13297226,-0.2042625,0.45706046
0.13283013,-0.20429431,0.4570415
0.13279279,-0.20423059,0.45706105
0.13283892,-0.20422052,0.45711362
0.1330911,-0.20407839,0.45702204
0.13318205,-0.20391461,0.45711002
0.1330996,-0.2037878,0.45730034
0.13351019,-0.20390764,0.4571124
0.13382477,-0.20374435,0.45733643
0.13402764,-0.20407599,0.45729756
0.13199994,-0.19373938,0.45673528
0.113854624,-0.20527773,0.54012537
0.11184847,-0.2282972,0.60908914
0.2522769,-0.21231256,0.7237941
0.056844756,-0.46182168,0.8528966
-0.20485453,-0.5724042,1.0115869
-0.45472834,-0.4680352,1.2311419
-0.6432896,-0.20276107,1.5731016
-0.6761322,0.052589756,1.8560625
-0.6788475,0.13004243,1.9513769
-0.6341491,0.018714592,1.8560548
-0.49222872,0.080891594,1.8400414
-0.5085256,0.12145177,1.8134813
-0.6218418,0.104790315,1.7227588
-0.6775264,0.120611705,1.7041334
-0.7473394,0.05178624,1.6850713
-0.80940956,-0.010871365,1.6650155
-0.86096084,-0.041107405,1.6586939
-0.9076477,-0.07155083,1.6409876
-0.9172109,-0.101833485,1.6328733
-0.9218761,-0.112747595,1.622995
-0.92487776,-0.110486135,1.6267725
-0.9261887,-0.1071747,1.6285758
-0.9240319,-0.106481664,1.6277469
-0.9203943,-0.107403934,1.6263602
-0.9164813,-0.11096288,1.6212975
-0.9131923,-0.11306612,1.6212443
-0.9103684,-0.11696007,1.6180043
-0.90750813,-0.117650345,1.6165849
-0.90880585,-0.1113312,1.6157529
-0.8365483,-0.045589212,1.6509163
-0.7638117,-0.007472436,1.6646812
-0.631179,0.01368886,1.6852067
-0.5385522,0.055645976,1.6632764
-0.5119976,0.04415838,1.6335533
-0.50758773,0.019986087,1.6149168
-0.5154348,0.005970008,1.6078261
-0.53399074,0.014416941,1.6044412
-0.54232526,0.03487429,1.603776
-0.5370668,0.05315749,1.6045587
-0.52469677,0.06927601,1.6049949
-0.5219755,0.12204162,1.6228338
-0.5427283,0.14975172,1.6367328
-0.55089206,0.15401025,1.6365225
-0.5542108,0.15852222,1.6405385
-0.55568594,0.15545064,1.6406238
-0.5539138,0.14020501,1.6421081
-0.5541914,0.1412253,1.6442639
-0.5507864,0.14044288,1.6452072
-0.54915565,0.13772213,1.6446826
-0.5496451,0.13975494,1.6470003
-0.5572611,0.13503815,1.6519846
-0.56897616,0.115392275,1.6550415
-0.57578546,0.109312356,1.6591818
-0.55324733,0.15614489,1.6499376
-0.5529953,0.17395256,1.6460342
-0.56202394,0.15959467,1.6514796
-0.5752744,0.12861098,1.6520814
-0.59957564,0.10403115,1.6534507
-0.61471903,0.099052325,1.6560501
-0.6210133,0.10128069,1.6584036
-0.626196,0.09597361,1.658661
-0.62386334,0.09923399,1.660685
-0.6250568,0.097591184,1.660073
-0.6241268,0.09788417,1.6605514
-0.62425756,0.09854048,1.6617178
-0.62142104,0.100120924,1.6590855
-0.61853045,0.10348638,1.660169
-0.6183657,0.10576922,1.66148
-0.6157528,0.10257815,1.6622689
-0.617802,0.09980715,1.6667305
-0.6152875,0.10674576,1.6703442
-0.6067783,0.11309493,1.6661482
-0.59943414,0.12523198,1.6638066
-0.60073537,0.12325733,1.6650134
-0.6110415,0.104953654,1.6659153
-0.6242305,0.088412516,1.6679122
-0.6374001,0.08357038,1.6719723
-0.6474829,0.07602487,1.6730947
-0.6438303,0.07597076,1.6670754
-0.64321476,0.075341254,1.6654927
-0.6412231,0.079855986,1.6685638
-0.6402463,0.08142138,1.6704328
-0.63783723,0.08413786,1.6707288
-0.6350572,0.08886525,1.6703805
-0.6288289,0.10040851,1.6731524
-0.62249786,0.1121058,1.6732596
-0.6204668,0.11367097,1.6770239
-0.61319244,0.113230415,1.6790828
-0.60938156,0.10946789,1.6823566
-0.6062575,0.11087697,1.6837219
-0.6023974,0.11638851,1.6835873
-0.6039841,0.1180682,1.6825514
-0.6037694,0.11932518,1.6806891
-0.6036579,0.12609355,1.6811316
-0.599029,0.12586866,1.6719565
-0.5912569,0.1044755,1.649152
-0.5743802,0.07097266,1.6194068
-0.5539764,0.05961333,1.5664401
-0.5454926,0.06503632,1.5449342
-0.5306755,0.07147341,1.5186284
-0.52124834,0.043894485,1.4816366
-0.52684945,0.035422448,1.4762985
-0.55070144,0.03854384,1.477455
-0.5589172,0.011396851,1.4796795
-0.5610597,-0.005619098,1.4876853
-0.5568516,-0.007068795,1.4894538
-0.55730397,-0.010822641,1.4844714
-0.5564044,-0.01510561,1.4820877
-0.55288917,-0.01779362,1.4822482
-0.54981667,-0.0170058,1.4832788
-0.5491726,-0.017919201,1.4840635
-0.5484586,-0.020505005,1.4824871
-0.546739,-0.024882566,1.4810718
-0.5467608,-0.023802975,1.4821364
-0.5444172,-0.02275413,1.4819499
-0.54794127,-0.022097213,1.4839501
-0.54697347,-0.018658914,1.4875089
-0.54559743,-0.021454649,1.4877592
-0.5451324,-0.024723608,1.4872714
-0.5443454,-0.026061786,1.4878336
-0.5445963,-0.028321939,1.4874204
-0.5435054,-0.031986542,1.4877796
-0.5421634,-0.03317217,1.4885731
-0.54052293,-0.03584121,1.4882997
-0.5393465,-0.038067885,1.4892755
